Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

02:27:56 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:28:56 AM     all     24.46      0.00      8.53      0.58      0.00     66.44
02:29:56 AM     all     13.36      0.00      6.57      0.00      0.00     80.07
02:30:56 AM     all      7.41      0.00      6.01      0.00      0.00     86.58
02:31:56 AM     all      7.64      0.00      5.69      0.00      0.00     86.67
02:32:56 AM     all      7.64      0.00      5.24      0.01      0.00     87.11
02:33:56 AM     all     28.37      0.00      3.98      0.00      0.00     67.64
02:34:56 AM     all     20.46      0.00      1.34      0.00      0.00     78.20
02:35:56 AM     all     12.21      0.00      0.41      0.00      0.00     87.38
02:36:56 AM     all     11.00      0.00      0.74      0.00      0.00     88.27
02:37:56 AM     all      5.21      0.00      1.09      0.00      0.00     93.70
02:38:56 AM     all      5.85      0.00      0.52      0.00      0.00     93.62
02:39:56 AM     all      5.48      0.00      0.85      0.00      0.00     93.67
