# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416274136;17484.87;12.25;-16416.39
axle;60;1416274196;-9053.77;0.18;9129.07
axle;59;1416274256;-95.79;0.24;65.11
axle;60;1416274316;-94.33;0.29;83.50
axle;60;1416274376;398.68;0.27;105.30
axle;60;1416274436;-32985.59;0.13;53.35
axle;60;1416274496;15361.29;0.13;21.42
axle;60;1416274556;-8.27;0.07;10.61
axle;60;1416274616;9843.23;0.10;9.91
axle;60;1416274676;9.87;0.08;9.92
axle;60;1416274736;-13.65;0.13;6.94
axle;60;1416274796;-2177.52;0.13;5.74
