# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416274136;34046300;230478124;87.13;462484;26898664;207666800;76.09
axle;60;1416274196;31877380;232647044;87.95;462528;29085624;207761748;76.13
axle;59;1416274256;31854612;232669812;87.96;462584;29101100;207639852;76.08
axle;60;1416274316;31832116;232692308;87.97;462652;29121012;207645212;76.09
axle;60;1416274376;31927768;232596656;87.93;462716;29146276;207518324;76.04
axle;60;1416274436;24025740;240498684;90.92;462748;29159056;215455332;78.95
axle;60;1416274496;27708764;236815660;89.53;462780;29164192;211751312;77.59
axle;60;1416274556;27706780;236817644;89.53;462796;29166736;211751312;77.59
axle;60;1416274616;30071124;234453300;88.63;462820;29169116;209374772;76.72
axle;60;1416274676;30073492;234450932;88.63;462840;29171496;209367980;76.72
axle;60;1416274736;30070216;234454208;88.63;462872;29173160;209367980;76.72
axle;60;1416274796;29547960;234976464;88.83;462904;29174536;209885636;76.91
