# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416275678;7801256;256723168;97.05;464760;44038420;216612580;79.37
axle;60;1416275738;3246016;261278408;98.77;464832;43125264;222105460;81.38
axle;59;1416275798;6244904;258279520;97.64;464916;43158436;219148532;80.30
axle;59;1416275858;7468400;257056024;97.18;465004;43217896;217908272;79.85
axle;59;1416275918;4210780;260313644;98.41;465088;43260476;221042732;80.99
axle;59;1416275978;7306316;257218108;97.24;465168;43251660;217988256;79.88
axle;59;1416276038;3351224;261173200;98.73;465264;43602272;221664344;81.22
axle;59;1416276098;8476464;256047960;96.80;465356;43302108;216849764;79.46
axle;59;1416276158;5083196;259441228;98.08;465428;43328452;220211304;80.69
axle;59;1416276218;6816452;257707972;97.42;465512;43496548;218311076;79.99
axle;60;1416276278;7487472;257036952;97.17;465596;43383280;217728248;79.78
axle;59;1416276338;8554928;255969496;96.77;465708;43428652;216935288;79.49
axle;59;1416276398;7557424;256967000;97.14;465796;43458124;217738828;79.78
axle;60;1416276458;5025648;259498776;98.10;465880;43770700;219916128;80.58
axle;60;1416276518;7666128;256858296;97.10;465976;43516828;217480188;79.69
axle;59;1416276578;8431840;256092584;96.81;466040;43570344;216649152;79.38
axle;59;1416276638;6397764;258126660;97.58;466132;43583496;218632420;80.11
axle;60;1416276698;8733660;255790764;96.70;466204;43611468;216265536;79.24
axle;59;1416276758;4995932;259528492;98.11;466276;43629892;220154064;80.67
axle;59;1416276818;4865896;259658528;98.16;466352;43906428;219872788;80.57
axle;60;1416276878;3379888;261144536;98.72;466436;43909516;221350968;81.11
axle;59;1416276938;1304784;263219640;99.51;466516;43858248;223327708;81.83
axle;59;1416276998;7906212;256618212;97.01;466580;43758072;216905476;79.48
axle;59;1416277058;14017900;250506524;94.70;466644;43788944;210752188;77.22
axle;60;1416277118;17256380;247268044;93.48;466700;43795300;207519852;76.04
axle;60;1416277178;17256852;247267572;93.48;466740;43796804;207519872;76.04
axle;60;1416277238;17252000;247272424;93.48;466772;43798704;207518448;76.04
axle;60;1416277298;17251356;247273068;93.48;466808;43801040;207519856;76.04
axle;60;1416277358;17248112;247276312;93.48;466840;43803000;207519872;76.04
