# hostname;interval;timestamp;pswpin/s;pswpout/s
axle;60;1416275678;0.00;0.00
axle;60;1416275738;0.00;0.00
axle;59;1416275798;0.00;0.00
axle;59;1416275858;0.00;0.00
axle;59;1416275918;0.00;0.00
axle;59;1416275978;0.00;0.00
axle;59;1416276038;0.00;0.00
axle;59;1416276098;0.00;0.00
axle;59;1416276158;0.00;0.00
axle;59;1416276218;0.00;0.00
axle;60;1416276278;0.00;0.00
axle;59;1416276338;0.00;0.00
axle;59;1416276398;0.00;0.00
axle;60;1416276458;0.00;0.00
axle;60;1416276518;0.00;0.00
axle;59;1416276578;0.00;0.00
axle;59;1416276638;0.00;0.00
axle;60;1416276698;0.00;0.00
axle;59;1416276758;0.00;0.00
axle;59;1416276818;0.00;0.00
axle;60;1416276878;0.00;0.00
axle;59;1416276938;0.00;0.00
axle;59;1416276998;0.00;0.00
axle;59;1416277058;0.00;0.00
axle;60;1416277118;0.00;0.00
axle;60;1416277178;0.00;0.00
axle;60;1416277238;0.00;0.00
axle;60;1416277298;0.00;0.00
axle;60;1416277358;0.00;0.00
