task_name,s_time,e_time,diff_time,seconds
LOAD,2014-11-18 02:27:58.949836,2014-11-18 02:40:52.127686,00:12:53.17785,773.17785
PERF.POWER.RF1,2014-11-18 02:40:55.599054,2014-11-18 02:41:11.840184,00:00:16.24113,16.24113
PERF.POWER.Q14,2014-11-18 02:41:11.852719,2014-11-18 02:41:24.754881,00:00:12.902162,12.902162
PERF.POWER.Q2,2014-11-18 02:41:24.76987,2014-11-18 02:41:31.039228,00:00:06.269358,6.269358
PERF.POWER.Q9,2014-11-18 02:41:31.059337,2014-11-18 02:42:49.044314,00:01:17.984977,77.984977
PERF.POWER.Q20,2014-11-18 02:42:49.064114,2014-11-18 02:43:02.22912,00:00:13.165006,13.165006
PERF.POWER.Q6,2014-11-18 02:43:02.248002,2014-11-18 02:43:22.959268,00:00:20.711266,20.711266
PERF.POWER.Q17,2014-11-18 02:43:22.976032,2014-11-18 02:43:23.4584,00:00:00.482368,0.482368
PERF.POWER.Q18,2014-11-18 02:43:23.47208,2014-11-18 02:44:18.473591,00:00:55.001511,55.001511
PERF.POWER.Q8,2014-11-18 02:44:18.48824,2014-11-18 02:44:29.283185,00:00:10.794945,10.794945
PERF.POWER.Q21,2014-11-18 02:44:29.300677,2014-11-18 02:45:38.821521,00:01:09.520844,69.520844
PERF.POWER.Q13,2014-11-18 02:45:38.83994,2014-11-18 02:46:09.445133,00:00:30.605193,30.605193
PERF.POWER.Q3,2014-11-18 02:46:09.464366,2014-11-18 02:46:46.622314,00:00:37.157948,37.157948
PERF.POWER.Q22,2014-11-18 02:46:46.639802,2014-11-18 02:46:53.372901,00:00:06.733099,6.733099
PERF.POWER.Q16,2014-11-18 02:46:53.390987,2014-11-18 02:47:05.225478,00:00:11.834491,11.834491
PERF.POWER.Q4,2014-11-18 02:47:05.238252,2014-11-18 02:47:49.697309,00:00:44.459057,44.459057
PERF.POWER.Q11,2014-11-18 02:47:49.715961,2014-11-18 02:47:52.568757,00:00:02.852796,2.852796
PERF.POWER.Q15,2014-11-18 02:47:52.588764,2014-11-18 02:48:07.721777,00:00:15.133013,15.133013
PERF.POWER.Q1,2014-11-18 02:48:07.740162,2014-11-18 02:49:33.132024,00:01:25.391862,85.391862
PERF.POWER.Q10,2014-11-18 02:49:33.149895,2014-11-18 02:49:55.329594,00:00:22.179699,22.179699
PERF.POWER.Q19,2014-11-18 02:49:55.35121,2014-11-18 02:49:56.25038,00:00:00.89917,0.89917
PERF.POWER.Q5,2014-11-18 02:49:56.268374,2014-11-18 02:50:33.888076,00:00:37.619702,37.619702
PERF.POWER.Q7,2014-11-18 02:50:33.908737,2014-11-18 02:51:09.633695,00:00:35.724958,35.724958
PERF.POWER.Q12,2014-11-18 02:51:09.651815,2014-11-18 02:51:31.253922,00:00:21.602107,21.602107
PERF.POWER.RF2,2014-11-18 02:51:31.261528,2014-11-18 02:52:08.609223,00:00:37.347695,37.347695
PERF.POWER,2014-11-18 02:40:55.591831,2014-11-18 02:52:08.618487,00:11:13.026656,673.026656
PERF.THRUPUT.QS10.Q2,2014-11-18 03:00:50.146379,2014-11-18 03:01:09.103928,00:00:18.957549,18.957549
PERF.THRUPUT.QS11.Q8,2014-11-18 03:00:31.412734,2014-11-18 03:01:15.874695,00:00:44.461961,44.461961
PERF.THRUPUT.QS8.Q19,2014-11-18 02:53:39.282078,2014-11-18 02:53:43.851501,00:00:04.569423,4.569423
PERF.THRUPUT.QS1.Q11,2014-11-18 03:00:25.951314,2014-11-18 03:00:37.220392,00:00:11.269078,11.269078
PERF.THRUPUT.QS20.Q16,2014-11-18 02:53:39.271232,2014-11-18 02:53:54.115777,00:00:14.844545,14.844545
PERF.THRUPUT.QS15.Q16,2014-11-18 02:53:39.279523,2014-11-18 02:53:54.255388,00:00:14.975865,14.975865
PERF.THRUPUT.QS22.Q16,2014-11-18 02:53:39.311298,2014-11-18 02:53:54.293584,00:00:14.982286,14.982286
PERF.THRUPUT.QS14.Q2,2014-11-18 02:53:39.250909,2014-11-18 02:53:56.754385,00:00:17.503476,17.503476
PERF.THRUPUT.QS16.Q9,2014-11-18 03:01:55.629532,2014-11-18 03:06:23.855318,00:04:28.225786,268.225786
PERF.THRUPUT.RFST1.RF1,2014-11-18 02:53:38.611112,2014-11-18 02:54:09.905455,00:00:31.294343,31.294343
PERF.THRUPUT.QS18.Q14,2014-11-18 02:53:39.227396,2014-11-18 02:54:10.78371,00:00:31.556314,31.556314
PERF.THRUPUT.QS2.Q6,2014-11-18 02:53:39.283168,2014-11-18 02:54:11.080524,00:00:31.797356,31.797356
PERF.THRUPUT.QS10.Q6,2014-11-18 02:53:39.254247,2014-11-18 02:54:11.08666,00:00:31.832413,31.832413
PERF.THRUPUT.QS3.Q8,2014-11-18 02:53:39.278105,2014-11-18 02:54:11.93501,00:00:32.656905,32.656905
PERF.THRUPUT.QS2.Q17,2014-11-18 02:54:11.103595,2014-11-18 02:54:13.250834,00:00:02.147239,2.147239
PERF.THRUPUT.QS22.Q14,2014-11-18 02:53:54.321263,2014-11-18 02:54:14.463866,00:00:20.142603,20.142603
PERF.THRUPUT.QS9.Q8,2014-11-18 02:53:39.309862,2014-11-18 02:54:14.989427,00:00:35.679565,35.679565
PERF.THRUPUT.QS21.Q20,2014-11-18 02:53:39.279391,2014-11-18 02:54:18.28566,00:00:39.006269,39.006269
PERF.THRUPUT.QS2.Q14,2014-11-18 02:54:13.477901,2014-11-18 02:54:33.930911,00:00:20.45301,20.45301
PERF.THRUPUT.QS21.Q14,2014-11-18 02:54:18.30319,2014-11-18 02:54:33.935071,00:00:15.631881,15.631881
PERF.THRUPUT.QS11.Q15,2014-11-18 02:53:39.293398,2014-11-18 02:54:35.283982,00:00:55.990584,55.990584
PERF.THRUPUT.QS6.Q10,2014-11-18 02:53:39.233123,2014-11-18 02:54:36.661318,00:00:57.428195,57.428195
PERF.THRUPUT.QS19.Q17,2014-11-18 03:01:18.471526,2014-11-18 03:01:20.825346,00:00:02.35382,2.35382
PERF.THRUPUT.QS17.Q3,2014-11-18 02:53:39.235786,2014-11-18 02:54:38.882209,00:00:59.646423,59.646423
PERF.THRUPUT.QS4.Q5,2014-11-18 02:53:39.288736,2014-11-18 02:54:40.046032,00:01:00.757296,60.757296
PERF.THRUPUT.QS4.Q18,2014-11-18 03:09:14.143,2014-11-18 03:11:10.348785,00:01:56.205785,116.205785
PERF.THRUPUT.QS2.Q16,2014-11-18 02:54:33.962938,2014-11-18 02:54:56.246982,00:00:22.284044,22.284044
PERF.THRUPUT.QS17.Q16,2014-11-18 02:54:38.897902,2014-11-18 02:54:56.522578,00:00:17.624676,17.624676
PERF.THRUPUT.QS9.Q13,2014-11-18 02:54:15.099335,2014-11-18 02:54:59.79605,00:00:44.696715,44.696715
PERF.THRUPUT.QS22.Q13,2014-11-18 02:54:14.493677,2014-11-18 02:55:00.047495,00:00:45.553818,45.553818
PERF.THRUPUT.QS2.Q19,2014-11-18 02:54:56.286117,2014-11-18 02:55:00.221952,00:00:03.935835,3.935835
PERF.THRUPUT.QS3.Q1,2014-11-18 02:59:37.32269,2014-11-18 03:01:23.783558,00:01:46.460868,106.460868
PERF.THRUPUT.QS19.Q4,2014-11-18 02:53:39.302872,2014-11-18 02:55:00.424342,00:01:21.12147,81.12147
PERF.THRUPUT.QS11.Q14,2014-11-18 02:54:35.305766,2014-11-18 02:55:00.430897,00:00:25.125131,25.125131
PERF.THRUPUT.QS15.Q12,2014-11-18 03:00:50.142904,2014-11-18 03:01:37.591551,00:00:47.448647,47.448647
PERF.THRUPUT.QS20.Q15,2014-11-18 02:53:54.141921,2014-11-18 02:55:01.30743,00:01:07.165509,67.165509
PERF.THRUPUT.QS10.Q15,2014-11-18 02:54:11.10089,2014-11-18 02:55:01.315598,00:00:50.214708,50.214708
PERF.THRUPUT.QS15.Q9,2014-11-18 02:53:54.292463,2014-11-18 02:58:30.717875,00:04:36.425412,276.425412
PERF.THRUPUT.QS20.Q7,2014-11-18 03:00:10.027521,2014-11-18 03:01:38.538869,00:01:28.511348,88.511348
PERF.THRUPUT.QS21.Q13,2014-11-18 03:00:57.292927,2014-11-18 03:01:41.557186,00:00:44.264259,44.264259
PERF.THRUPUT.QS18.Q8,2014-11-18 03:01:08.292613,2014-11-18 03:01:46.662559,00:00:38.369946,38.369946
PERF.THRUPUT.QS5.Q19,2014-11-18 03:01:45.268465,2014-11-18 03:01:49.171873,00:00:03.903408,3.903408
PERF.THRUPUT.RFST5.RF2,2014-11-18 03:00:47.149196,2014-11-18 03:01:49.203152,00:01:02.053956,62.053956
PERF.THRUPUT.RFST5,2014-11-18 03:00:20.0336,2014-11-18 03:01:49.210844,00:01:29.177244,89.177244
PERF.THRUPUT.QS22.ALL,2014-11-18 02:53:39.297183,2014-11-18 03:16:54.72021,00:23:15.423027,1395.423027
PERF.THRUPUT.QS13.Q10,2014-11-18 03:01:03.67059,2014-11-18 03:02:08.298624,00:01:04.628034,64.628034
PERF.THRUPUT.QS10.Q13,2014-11-18 03:01:23.882396,2014-11-18 03:02:08.301548,00:00:44.419152,44.419152
PERF.THRUPUT.QS17.Q13,2014-11-18 03:10:25.893654,2014-11-18 03:11:13.071229,00:00:47.177575,47.177575
PERF.THRUPUT.QS1.Q7,2014-11-18 03:00:37.250947,2014-11-18 03:02:08.782078,00:01:31.531131,91.531131
PERF.THRUPUT.QS2.Q15,2014-11-18 03:00:58.257466,2014-11-18 03:02:11.870977,00:01:13.613511,73.613511
PERF.THRUPUT.RFST6.RF1,2014-11-18 03:01:49.233488,2014-11-18 03:02:18.792825,00:00:29.559337,29.559337
PERF.THRUPUT.QS7.Q4,2014-11-18 03:00:43.681887,2014-11-18 03:02:19.614927,00:01:35.93304,95.93304
PERF.THRUPUT.QS14.Q18,2014-11-18 03:00:51.807827,2014-11-18 03:02:23.990454,00:01:32.182627,92.182627
PERF.THRUPUT.QS20.Q1,2014-11-18 03:01:38.559275,2014-11-18 03:03:35.296043,00:01:56.736768,116.736768
PERF.THRUPUT.RFST6.RF2,2014-11-18 03:02:18.829344,2014-11-18 03:03:40.017828,00:01:21.188484,81.188484
PERF.THRUPUT.QS5.Q18,2014-11-18 03:01:49.18852,2014-11-18 03:03:52.913704,00:02:03.725184,123.725184
PERF.THRUPUT.QS14.Q1,2014-11-18 03:02:24.012237,2014-11-18 03:04:23.869557,00:01:59.85732,119.85732
PERF.THRUPUT.QS22.Q15,2014-11-18 03:10:13.164524,2014-11-18 03:11:15.396856,00:01:02.232332,62.232332
PERF.THRUPUT.QS14.Q13,2014-11-18 03:11:09.159178,2014-11-18 03:11:55.039982,00:00:45.880804,45.880804
PERF.THRUPUT.QS16.Q18,2014-11-18 03:10:19.250108,2014-11-18 03:12:11.791987,00:01:52.541879,112.541879
PERF.THRUPUT.QS14.Q14,2014-11-18 03:11:55.060564,2014-11-18 03:12:17.268964,00:00:22.2084,22.2084
PERF.THRUPUT.QS19.Q6,2014-11-18 03:11:27.108385,2014-11-18 03:12:17.508601,00:00:50.400216,50.400216
PERF.THRUPUT.QS14.Q19,2014-11-18 03:12:17.312739,2014-11-18 03:12:21.243038,00:00:03.930299,3.930299
PERF.THRUPUT.RFST12,2014-11-18 03:11:00.538025,2014-11-18 03:12:35.135361,00:01:34.597336,94.597336
PERF.THRUPUT.QS2.Q4,2014-11-18 03:11:11.007057,2014-11-18 03:12:44.20012,00:01:33.193063,93.193063
PERF.THRUPUT.QS21.ALL,2014-11-18 02:53:39.260924,2014-11-18 03:16:55.836552,00:23:16.575628,1396.575628
PERF.THRUPUT.QS11.ALL,2014-11-18 02:53:39.272646,2014-11-18 03:17:00.182091,00:23:20.909445,1400.909445
PERF.THRUPUT.QS13.ALL,2014-11-18 02:53:39.216872,2014-11-18 03:17:02.657667,00:23:23.440795,1403.440795
PERF.THRUPUT.QS4.ALL,2014-11-18 02:53:39.273835,2014-11-18 03:17:11.796994,00:23:32.523159,1412.523159
PERF.THRUPUT.QS16.ALL,2014-11-18 02:53:39.239365,2014-11-18 03:17:12.650715,00:23:33.41135,1413.41135
PERF.THRUPUT.QS5.ALL,2014-11-18 02:53:39.20932,2014-11-18 03:17:35.448666,00:23:56.239346,1436.239346
PERF.THRUPUT.QS8.ALL,2014-11-18 02:53:39.25954,2014-11-18 03:17:39.612042,00:24:00.352502,1440.352502
PERF.THRUPUT.QS3.ALL,2014-11-18 02:53:39.265215,2014-11-18 03:17:44.006367,00:24:04.741152,1444.741152
PERF.THRUPUT.QS18.ALL,2014-11-18 02:53:39.212553,2014-11-18 03:17:48.408496,00:24:09.195943,1449.195943
PERF.THRUPUT,2014-11-18 02:53:38.536261,2014-11-18 03:23:02.573491,00:29:24.03723,1764.03723
